Country,Region,percent,avg income,Column2,Column3,Column4,Column5,Column6,Column7,,region,avg income,percent,,
Venezuela,LA,0.000%,0,Venezuela,89%,88%,88%,88%,0.8825,,AP,326571.6857,0.205,,-0.178259012
Bangladesh,AP,0.199%,75545.44286,Bangladesh,84%,86%,87%,90%,0.8675,,AP,75545.44286,0.8675,,
Georgia,CEE,0.423%,29732.58571,Georgia,81%,84%,90%,91%,0.865,,AP,119336.8143,0.5925,,
Iraq,MEA,0.131%,40615.6,Iraq,85%,85%,86%,86%,0.855,,AP,2246537.514,0.8425,,
Belarus,CEE,0.646%,15292.6,Belarus,82%,85%,86%,87%,0.85,,AP,122439.9143,0.185,,
Pakistan,AP,0.386%,1209014.886,Pakistan,83%,84%,85%,86%,0.845,,AP,101162.6571,0.5325,,
Azerbaijan,CEE,0.460%,29206.11429,Azerbaijan,81%,84%,85%,87%,0.8425,,AP,21751.28571,0.19,,
Indonesia,AP,0.296%,2246537.514,Indonesia,83%,84%,84%,86%,0.8425,,AP,1209014.886,0.845,,
Paraguay,LA,0.541%,763445.5143,Paraguay,83%,84%,84%,83%,0.835,,AP,81680.11429,0.675,,
Algeria,MEA,0.178%,52470.78571,Algeria,82%,83%,85%,84%,0.835,,AP,178913.5714,0.305,,
Ukraine,CEE,0.886%,16861.67143,Ukraine,80%,82%,83%,84%,0.8225,,AP,646052.5857,0.3625,,
Cameroon,MEA,0.066%,61419.35714,Cameroon,80%,82%,82%,83%,0.8175,,AP,715473.3429,0.8075,,
Sri Lanka,AP,0.660%,715473.3429,Sri Lanka,77%,79%,83%,84%,0.8075,,AP,209506.6286,0.3625,,
Nigeria,MEA,0.211%,30929.12857,Nigeria,80%,80%,81%,82%,0.8075,,AP,436347.9857,0.695,,
El Salvador,LA,0.244%,13552.85714,El Salvador,80%,81%,80%,80%,0.8025,,AP,5311550.543,0.785,,
Bolivia,LA,0.466%,113745.2429,Bolivia,79%,79%,79%,79%,0.79,,CEE,29206.11429,0.8425,,
Guatemala,LA,0.309%,32750.72857,Guatemala,78%,79%,79%,79%,0.7875,,CEE,15292.6,0.85,,
Vietnam,AP,0.430%,5311550.543,Vietnam,74%,78%,81%,81%,0.785,,CEE,11437.85714,0.61,,
Kenya,MEA,0.320%,22507.85714,Kenya,74%,76%,78%,78%,0.765,,CEE,24678.12857,0.515,,
Dominican Republic,LA,0.186%,23204.07143,Dominican Republic,75%,76%,75%,76%,0.755,,CEE,48620.07143,0.335,,
Honduras,LA,0.240%,28357.8,Honduras,75%,75%,74%,73%,0.7425,,CEE,523003.7143,0.445,,
Kazakhstan,CEE,0.237%,52116.77143,Kazakhstan,74%,73%,74%,76%,0.7425,,CEE,29732.58571,0.865,,
Tunisia,MEA,0.263%,63170.14286,Tunisia,73%,74%,75%,74%,0.74,,CEE,43232.17143,0.385,,
Panama,LA,0.373%,126106.3286,Panama,71%,72%,72%,72%,0.7175,,CEE,52116.77143,0.7425,,
China,AP,0.156%,158616.0571,China,66%,70%,74%,77%,0.7175,,CEE,92860.17143,0.51,,
Lebanon,MEA,7.355%,47687.62857,Lebanon,69%,70%,71%,71%,0.7025,,CEE,27266.52857,0.52,,
Thailand,AP,0.379%,436347.9857,Thailand,66%,69%,71%,72%,0.695,,CEE,15177.88571,0.495,,
Serbia,CEE,0.256%,8207.157143,Serbia,66%,67%,69%,72%,0.685,,CEE,255911.3571,0.61,,
Argentina,LA,5.191%,18564.35714,Argentina,67%,69%,69%,69%,0.685,,CEE,106932.1286,0.6275,,
Ecuador,LA,0.191%,105079.8429,Ecuador,68%,68%,68%,68%,0.68,,CEE,8207.157143,0.685,,
Uruguay,LA,0.288%,26017.55714,Uruguay,67%,68%,68%,68%,0.6775,,CEE,37466.08571,0.37,,
Philippines,AP,0.224%,81680.11429,Philippines,64%,67%,69%,70%,0.675,,CEE,25420.84286,0.4375,,
Morocco,MEA,0.097%,142108.6571,Morocco,64%,65%,66%,66%,0.6525,,CEE,16861.67143,0.8225,,
Peru,LA,0.204%,16312.9,Peru,62%,63%,65%,67%,0.6425,,LA,18564.35714,0.685,,
Russia,CEE,0.407%,106932.1286,Russia,62%,64%,62%,63%,0.6275,,LA,113745.2429,0.79,,
Greece,WE,0.177%,136137.8,Greece,61%,63%,62%,61%,0.6175,,LA,43648.65714,0.49,,
Bulgaria,CEE,0.302%,11437.85714,Bulgaria,57%,60%,63%,64%,0.61,,LA,64379.44286,0.58,,
Romania,CEE,0.196%,255911.3571,Romania,59%,60%,62%,63%,0.61,,LA,768655.3857,0.5075,,
Egypt,MEA,0.234%,198491.1571,Egypt,59%,61%,62%,61%,0.6075,,LA,49977.4,0.585,,
Oman,MEA,0.186%,33171.85714,Oman,60%,60%,60%,61%,0.6025,,LA,23204.07143,0.755,,
India,AP,0.227%,119336.8143,India,56%,58%,60%,63%,0.5925,,LA,105079.8429,0.68,,
Turkey,MEA,0.622%,17388.07143,Turkey,56%,58%,60%,62%,0.59,,LA,13552.85714,0.8025,,
Costa Rica,LA,0.252%,49977.4,Costa Rica,58%,59%,59%,58%,0.585,,LA,32750.72857,0.7875,,
Chile,LA,0.294%,64379.44286,Chile,55%,57%,59%,61%,0.58,,LA,28357.8,0.7425,,
Kuwait,MEA,0.166%,106016.3286,Kuwait,57%,58%,58%,59%,0.58,,LA,0,0.53,,
Jordan,MEA,0.107%,249104.1143,Jordan,55%,56%,57%,58%,0.565,,LA,126106.3286,0.7175,,
Malaysia,AP,0.445%,101162.6571,Malaysia,51%,53%,54%,55%,0.5325,,LA,763445.5143,0.835,,
Bahrain,MEA,0.167%,68974.38571,Bahrain,52%,54%,53%,54%,0.5325,,LA,16312.9,0.6425,,
Mexico,LA,0.137%,0,Mexico,49%,52%,54%,57%,0.53,,LA,26017.55714,0.6775,,
Lithuania,CEE,0.165%,27266.52857,Lithuania,50%,51%,53%,54%,0.52,,LA,0,0.8825,,
Croatia,CEE,0.198%,24678.12857,Croatia,50%,51%,52%,53%,0.515,,MEA,52470.78571,0.835,,
Latvia,CEE,0.175%,92860.17143,Latvia,48%,49%,53%,54%,0.51,,MEA,68974.38571,0.5325,,
Colombia,LA,0.240%,768655.3857,Colombia,48%,50%,52%,53%,0.5075,,MEA,61419.35714,0.8175,,
Poland,CEE,0.200%,15177.88571,Poland,46%,48%,51%,53%,0.495,,MEA,198491.1571,0.6075,,
Saudi Arabia,MEA,0.164%,29081.27143,Saudi Arabia,47%,49%,50%,51%,0.4925,,MEA,40615.6,0.855,,
Brazil,LA,0.299%,43648.65714,Brazil,46%,47%,50%,53%,0.49,,MEA,19498.11429,0.2925,,
Qatar,MEA,0.169%,825.9285714,Qatar,47%,48%,49%,50%,0.485,,MEA,249104.1143,0.565,,
Italy,WE,0.135%,1169620.6,Italy,43%,45%,47%,48%,0.4575,,MEA,22507.85714,0.765,,
Estonia,CEE,0.168%,523003.7143,Estonia,41%,42%,47%,48%,0.445,,MEA,106016.3286,0.58,,
Slovenia,CEE,0.148%,25420.84286,Slovenia,41%,43%,45%,46%,0.4375,,MEA,47687.62857,0.7025,,
Spain,WE,0.139%,96862.87143,Spain,42%,44%,45%,44%,0.4375,,MEA,142108.6571,0.6525,,
Portugal,WE,0.132%,372543.6714,Portugal,38%,39%,40%,40%,0.3925,,MEA,30929.12857,0.8075,,
Hungary,CEE,0.231%,43232.17143,Hungary,36%,38%,39%,41%,0.385,,MEA,33171.85714,0.6025,,
Slovakia,CEE,0.124%,37466.08571,Slovakia,35%,36%,37%,40%,0.37,,MEA,825.9285714,0.485,,
Taiwan,AP,0.085%,209506.6286,Taiwan,34%,36%,38%,37%,0.3625,,MEA,29081.27143,0.4925,,
South Korea,AP,0.108%,646052.5857,South Korea,32%,35%,38%,40%,0.3625,,MEA,98349.18571,0.335,,
France,WE,0.166%,126429.6429,France,32%,34%,36%,37%,0.3475,,MEA,63170.14286,0.74,,
South Africa,MEA,0.258%,98349.18571,South Africa,32%,33%,34%,35%,0.335,,MEA,17388.07143,0.59,,
Czech Republic,CEE,0.162%,48620.07143,Czech Republic,32%,33%,34%,35%,0.335,,NA,798340.1571,0.245,,
Ireland,WE,0.108%,133555.9143,Ireland,29%,32%,33%,34%,0.32,,NA,13237885.86,0.1725,,
Singapore,AP,0.177%,178913.5714,Singapore,27%,30%,32%,33%,0.305,,WE,1454263.571,0.2125,,
Israel,MEA,0.088%,19498.11429,Israel,27%,29%,30%,31%,0.2925,,WE,425865.6,0.2325,,
Netherlands,WE,0.145%,130784.7,Netherlands,22%,24%,25%,27%,0.245,,WE,1944670.986,0.2225,,
Canada,NA,0.123%,798340.1571,Canada,22%,24%,25%,27%,0.245,,WE,1433856.757,0.2375,,
Norway,WE,0.184%,254138.0429,Norway,21%,23%,25%,27%,0.24,,WE,126429.6429,0.3475,,
Finland,WE,0.149%,1433856.757,Finland,22%,24%,24%,25%,0.2375,,WE,188948.6,0.23,,
United Kingdom,WE,0.126%,118549.5429,United Kingdom,21%,22%,24%,26%,0.2325,,WE,136137.8,0.6175,,
Switzerland,WE,0.107%,722942.0143,Switzerland,21%,23%,24%,25%,0.2325,,WE,133555.9143,0.32,,
Belgium,WE,0.085%,425865.6,Belgium,22%,23%,24%,24%,0.2325,,WE,1169620.6,0.4575,,
Germany,WE,0.099%,188948.6,Germany,20%,22%,24%,26%,0.23,,WE,130784.7,0.245,,
Denmark,WE,0.145%,1944670.986,Denmark,20%,22%,23%,24%,0.2225,,WE,254138.0429,0.24,,
Sweden,WE,0.186%,212718.3571,Sweden,19%,21%,23%,24%,0.2175,,WE,372543.6714,0.3925,,
Austria,WE,0.077%,1454263.571,Austria,19%,21%,22%,23%,0.2125,,WE,96862.87143,0.4375,,
Australia,AP,0.092%,326571.6857,Australia,18%,20%,21%,23%,0.205,,WE,212718.3571,0.2175,,
New Zealand,AP,0.093%,21751.28571,New Zealand,16%,18%,20%,22%,0.19,,WE,722942.0143,0.2325,,
Japan,AP,0.058%,122439.9143,Japan,16%,18%,19%,21%,0.185,,WE,118549.5429,0.2325,,
United States,NA,0.070%,13237885.86,United States,15%,17%,18%,19%,0.1725,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,