Country Name,2011,2012,2013,2014,2015,2016,2017
Aruba,101288,102112,102880,103594,104257,104874,105439
Africa Eastern and Southern,537792950,552530654,567892149,583651101,600008424,616377605,632746570
Afghanistan,29249157,30466479,31541209,32716210,33753499,34636207,35643418
Africa Western and Central,366489204,376797999,387204553,397855507,408690375,419778384,431138704
Angola,24259111,25188292,26147002,27128337,28127721,29154746,30208628
Albania,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Andorra,70567,71013,71367,71621,71746,72540,73837
Arab World,372351065,380383408,389131555,397922915,406501999,415077960,423664839
United Arab Emirates,8575205,8664969,8751847,8835951,8916899,8994263,9068296
Argentina,41261490,41733271,42202935,42669500,43131966,43590368,44044811
Armenia,2928976,2914421,2901385,2889930,2878595,2865835,2851923
American Samoa,54310,53691,52995,52217,51368,50448,49463
Antigua and Barbuda,86729,87674,88497,89236,89941,90564,91119
Australia,22340024,22733465,23128129,23475686,23815995,24190907,24592588
Austria,8391643,8429991,8479823,8546356,8642699,8736668,8797566
Azerbaijan,9173082,9295784,9416801,9535079,9649341,9757812,9854033
Burundi,9455733,9795479,10149577,10494913,10727148,10903327,11155593
Belgium,11038264,11106932,11159407,11209057,11274196,11331422,11375158
Benin,9726380,10014078,10308730,10614844,10932783,11260085,11596779
Burkina Faso,16602651,17113732,17636408,18169842,18718019,19275498,19835858
Bangladesh,150211005,152090649,154030139,155961299,157830000,159784568,161793964
Bulgaria,7348328,7305888,7265115,7223938,7177991,7127822,7075947
Bahrain,1212077,1224939,1261673,1311134,1362142,1409661,1456834
"Bahamas, The",377950,382061,385650,389131,392697,395976,399020
Bosnia and Herzegovina,3743142,3674374,3617559,3571068,3524324,3480986,3440027
Belarus,9461643,9446836,9443211,9448515,9461076,9469379,9458989
Belize,329538,337059,344688,352335,359871,367313,374693
Bermuda,64564,64798,65001,65138,65237,64554,63873
Bolivia,10396246,10569697,10743349,10916987,11090085,11263015,11435533
Brazil,198185302,199977707,201721767,203459650,205188205,206859578,208504960
Barbados,275486,276197,276865,277493,278083,278649,279187
Brunei Darussalam,401506,406634,411702,416656,421437,425994,430276
Bhutan,713331,721145,728889,736357,743274,749761,756121
Botswana,2134037,2175425,2217278,2260376,2305171,2352416,2401840
Central African Republic,4732022,4773306,4802428,4798734,4819333,4904177,4996741
Canada,34339328,34714222,35082954,35437435,35702908,36109487,36545236
Central Europe and the Baltics,104174038,103935318,103713726,103496179,103257886,102994278,102740078
Switzerland,7912398,7996861,8089346,8188649,8282396,8373338,8451840
Channel Islands,157819,158621,159794,160912,162190,163721,165215
Chile,17173573,17341771,17509925,17687108,17870124,18083879,18368577
China,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000
Cote d'Ivoire,21562914,22010712,22469268,22995555,23596741,24213622,24848016
Cameroon,20448873,21032684,21632850,22299585,23012646,23711630,24393181
"Congo, Dem. Rep.",68654269,70997870,73460021,76035588,78656904,81430977,84283273
"Congo, Rep.",4584216,4713257,4828066,4944861,5064386,5186824,5312340
Colombia,45308899,45782417,46237930,46677947,47119728,47625955,48351671
Comoros,670071,684553,699393,714612,730216,746232,761664
Cabo Verde,527521,533864,539940,546076,552166,558394,564954
Costa Rica,4679926,4736593,4791535,4844288,4895242,4945205,4993842
Caribbean small states,7044357,7088996,7135884,7181044,7224602,7265272,7303634
Cuba,11298710,11309290,11321579,11332026,11339894,11342012,11336405
Curacao,150831,152088,153822,155909,157980,159664,160175
Cayman Islands,55492,56860,58212,59559,60911,62255,63581
Cyprus,1145086,1156556,1166968,1176995,1187280,1197881,1208523
Czechia,10496088,10510785,10514272,10525347,10546059,10566332,10594438
Germany,80274983,80425823,80645605,80982500,81686611,82348669,82657002
Djibouti,936811,954297,971753,989087,1006259,1023261,1040233
Dominica,68742,68888,68819,69371,70007,70075,70403
Denmark,5570572,5591572,5614932,5643475,5683483,5728010,5764980
Dominican Republic,9903737,10030882,10157051,10282115,10405832,10527592,10647244
Algeria,36543541,37260563,38000626,38760168,39543154,40339329,41136546
East Asia & Pacific (excluding high income),1984267781,2001264155,2018068461,2034264880,2049757846,2065173002,2080919319
Early-demographic dividend,2991403487,3035159632,3078407213,3121656203,3165214886,3208369547,3250752755
East Asia & Pacific,2225992094,2243776727,2261274500,2278232287,2294507020,2310721864,2327132966
Europe & Central Asia (excluding high income),381328678,383374474,385623200,387912182,390267733,392579664,394705361
Europe & Central Asia,891329416,894660467,898607432,902670860,906695444,910633273,914078289
Ecuador,15237728,15483883,15722989,15957994,16195902,16439585,16696944
"Egypt, Arab Rep.",89200054,91240376,93377890,95592324,97723799,99784030,101789386
Euro area,335442349,336183135,337328817,338486932,339514675,340509447,341246081
Eritrea,3207570,3252596,3296367,3323425,3340006,3365287,3396933
Spain,46742697,46773055,46620045,46480882,46444832,46484062,46593236
Estonia,1327439,1322696,1317997,1314545,1315407,1315790,1317384
Ethiopia,91817929,94451280,97084366,99746766,102471895,105293228,108197950
European Union,440769682,441419873,442496175,443601373,444570054,445515422,446215182
Fragile and conflict affected situations,797785010,817412582,837410155,857018106,876436311,896272698,916427867
Finland,5388272,5413971,5438972,5461512,5479531,5495303,5508214
Fiji,908355,911059,913453,915560,917200,918371,919019
France,65345233,65662240,66002289,66312067,66548272,66724104,66918020
Faroe Islands,48386,48392,48418,48465,48816,49500,50230
"Micronesia, Fed. Sts.",107887,108232,108609,109024,109462,109925,110430
Gabon,1772500,1836705,1902226,1966855,2028517,2086206,2140215
United Kingdom,63258810,63700215,64128273,64602298,65116219,65611593,66058859
Georgia,3756441,3728874,3717668,3719414,3725276,3727505,3728004
Ghana,26205941,26858762,27525597,28196358,28870939,29554303,30222262
Gibraltar,31701,32160,32411,32452,32520,32565,32602
Guinea,10527712,10788692,11055430,11333365,11625998,11930985,12240789
"Gambia, The",1998212,2061014,2124869,2189019,2253133,2317206,2381182
Guinea-Bissau,1609017,1652717,1697753,1743309,1788919,1834552,1879826
Equatorial Guinea,1144588,1193636,1243941,1295183,1346973,1398927,1450694
Greece,11104899,11045011,10965211,10892413,10820883,10775971,10754679
Grenada,114918,115912,116945,117972,118980,119966,120921
Greenland,56890,56810,56483,56295,56114,56186,56172
Guatemala,14521515,14781942,15043981,15306316,15567419,15827690,16087418
Guam,165649,166392,167054,167543,167978,168346,168606
Guyana,744230,743966,747420,751115,755031,759087,763252
High income,1185474102,1192042103,1198818424,1205686277,1212444178,1219354936,1225544265
"Hong Kong SAR, China",7071600,7150100,7178900,7229500,7291300,7336600,7393200
Honduras,8622504,8792367,8960657,9127846,9294505,9460798,9626842
Heavily indebted poor countries (HIPC),648927117,667520863,686620331,706617213,727129254,748356635,770390212
Croatia,4280622,4267558,4255689,4238389,4203604,4174349,4124531
Haiti,9954312,10108539,10261206,10412740,10563757,10713849,10863543
Hungary,9971727,9920362,9893082,9866468,9843028,9814023,9787966
IBRD only,4471184320,4518973677,4567977613,4616584921,4663653202,4709004177,4753252242
IDA & IBRD total,5917716358,5998432110,6079501853,6160290229,6240231201,6319805369,6399653365
IDA total,1446532038,1479458433,1511524240,1543705308,1576577999,1610801192,1646401123
IDA blend,484919898,495868522,506443358,516900084,527175885,537358412,547984961
Indonesia,247099697,250222695,253275918,256229761,259091970,261850182,264498852
IDA only,961612140,983589911,1005080882,1026805224,1049402114,1073442780,1098416162
Isle of Man,84350,84338,84144,83896,83593,83450,83580
India,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680
Not classified,,,,,,,
Ireland,4580084,4599533,4623816,4657740,4701957,4755335,4807388
"Iran, Islamic Rep.",76342971,77324451,78458928,79961672,81790841,83306231,84505076
Iraq,32378061,33864447,35481800,36746488,37757813,38697943,39621162
Iceland,319014,320716,323764,327386,330815,335439,343400
Israel,7765800,7910500,8059500,8215700,8380100,8546000,8713300
Italy,59379449,59539717,60233948,60789140,60730582,60627498,60536709
Jamaica,2746169,2759817,2773129,2784543,2794445,2802695,2808376
Jordan,7109980,7211863,7694814,8658026,9494246,9964656,10215381
Japan,127833000,127629000,127445000,127276000,127141000,127076000,126972000
Kazakhstan,16557202,16792090,17035551,17288285,17542806,17794055,18037776
Kenya,42635144,43725806,44792368,45831863,46851488,47894670,48948137
Kyrgyz Republic,5514600,5607200,5719600,5835500,5956900,6079500,6198200
Cambodia,14573885,14786640,14999683,15210817,15417523,15624584,15830689
Kiribati,109871,111618,113311,114985,116707,118513,120362
St. Kitts and Nevis,47581,47727,47767,47789,47790,47788,47785
"Korea, Rep.",49936638,50199853,50428893,50746659,51014947,51217803,51361911
Kuwait,3143825,3394663,3646518,3761584,3908743,4048085,4124904
Latin America & Caribbean (excluding high income),535014773,541048298,546954103,552781789,558562792,564377885,570381211
Lao PDR,6416327,6508803,6600742,6691454,6787419,6891363,6997917
Lebanon,5045056,5178337,5678851,6274342,6398940,6258619,6109252
Liberia,4181150,4331740,4427313,4519398,4612329,4706097,4796631
Libya,6188132,5869870,5985221,6097764,6192235,6282196,6378261
St. Lucia,172145,173124,173978,174804,175623,176413,177163
Latin America & Caribbean,595510008,602139396,608642242,615046755,621390109,627668470,633797190
Least developed countries: UN classification,864134636,885375140,907133963,929398042,951928215,975265947,999288864
Low income,525506329,540002626,553835758,567702296,582173028,597683499,613946858
Liechtenstein,36189,36505,36806,37096,37355,37609,37889
Sri Lanka,20859743,21017147,21131756,21239457,21336697,21425494,21506813
Lower middle income,2726052485,2769675465,2813932332,2858673420,2902878488,2946639176,2990172548
Low & middle income,5839474111,5919873728,6000646643,6081160760,6160876270,6240319049,6320334263
Lesotho,2037677,2054718,2073939,2095242,2118521,2143872,2170617
Late-demographic dividend,2196512073,2212381413,2228485037,2244043359,2258406242,2272340223,2286627723
Lithuania,3028115,2987773,2957689,2932367,2904910,2868231,2828403
Luxembourg,518347,530946,543360,556319,569604,582014,596336
Latvia,2059709,2034319,2012647,1993782,1977527,1959537,1942248
"Macao SAR, China",571003,582766,593374,604167,615239,626688,638609
St. Martin (French part),36350,36026,35639,35261,35020,34811,34496
Morocco,32903699,33352169,33803527,34248603,34680458,35107264,35528115
Monaco,33945,34700,35425,36110,36760,37071,37044
Moldova,2860699,2860324,2859558,2857815,2835978,2803186,2755189
Madagascar,22348158,22966240,23588073,24215976,24850912,25501941,26169542
Maldives,374440,387539,400728,416738,435582,454252,472442
Middle East & North Africa,406045323,414117603,422790409,431664579,440506473,448917409,456885486
Mexico,114150481,115755909,117290686,118755887,120149897,121519221,122839258
Marshall Islands,52971,52203,51352,50419,49410,48329,47187
Middle income,5313967782,5379871102,5446810885,5513458464,5578703242,5642635550,5706387405
North Macedonia,2058539,2061044,2064032,2067471,2070226,2072490,2074502
Mali,16039734,16514687,17004033,17551814,18112907,18700106,19311355
Malta,416268,420028,425967,434558,445053,455356,467999
Myanmar,49794522,50218185,50648334,51072436,51483949,51892349,52288341
Middle East & North Africa (excluding high income),349770162,356239722,363310225,370756356,378137339,385054538,391607422
Montenegro,620079,620601,621207,621810,622159,622303,622373
Mongolia,2743938,2792349,2845153,2902823,2964749,3029555,3096030
Northern Mariana Islands,52520,52359,52141,51856,51514,51133,50729
Mozambique,23760421,24487611,25251731,26038704,26843246,27696493,28569441
Mauritania,3524249,3636113,3742959,3843174,3946220,4051890,4160015
Mauritius,1252404,1255882,1258927,1261208,1262879,1263747,1264887
Malawi,15146094,15581251,16024775,16477966,16938942,17405624,17881167
Malaysia,29184133,29660212,30134807,30606459,31068833,31526418,31975806
North America,345987373,348656682,351207902,353888902,356507139,359245796,361731237
Namibia,2132340,2167470,2204510,2243001,2282704,2323352,2364534
New Caledonia,254350,259000,263650,268050,269460,270220,270810
Niger,17283112,17954407,18653199,19372014,20128124,20921743,21737922
Nigeria,165463745,170075932,174726123,179379016,183995785,188666931,193495907
Nicaragua,5942553,6030607,6119379,6208676,6298598,6389235,6480532
Netherlands,16693074,16754962,16804432,16865008,16939923,17030314,17131296
Norway,4953088,5018573,5079623,5137232,5188607,5234519,5276968
Nepal,27266399,27330694,27381555,27462106,27610325,27861186,28183426
Nauru,10283,10444,10694,10940,11185,11437,11682
New Zealand,4384000,4408100,4442100,4516500,4609400,4714100,4813600
OECD members,1297593939,1305513492,1313643972,1322075502,1330315361,1338790910,1346867343
Oman,3206870,3535579,3816680,4009267,4191776,4398070,4541854
Other small states,27072916,27617274,28225790,28907552,29621042,30309997,30940313
Pakistan,198602738,202205861,205337562,208251628,210969298,213524840,216379655
Panama,3688674,3754862,3821556,3888793,3957099,4026336,4096063
Peru,29477721,29749589,30038809,30353951,30711863,31132779,31605486
Philippines,96337913,98032317,99700107,101325201,103031365,104875266,106738501
Palau,18240,17946,17805,17796,17794,17816,17837
Papua New Guinea,7806637,8026545,8245627,8464153,8682174,8899169,9114796
Poland,38063255,38063164,38040196,38011735,37986412,37970087,37974826
Pre-demographic dividend,761717101,784822780,808542070,832469778,856420253,880891473,905987912
Puerto Rico,3678732,3634488,3593077,3534874,3473232,3406672,3325286
"Korea, Dem. People's Rep.",24783789,24887770,25001819,25126131,25258015,25389611,25516321
Portugal,10557560,10514844,10457295,10401062,10358076,10325452,10300300
Paraguay,5843939,5923322,6005652,6090721,6177950,6266615,6355404
West Bank and Gaza,3882986,3979998,4076708,4173398,4270092,4367088,4454805
Pacific island small states,2327284,2353058,2379069,2405308,2431426,2457814,2484263
Post-demographic dividend,1077987051,1082488958,1087230525,1092179620,1097061415,1102020063,1106212920
French Polynesia,285265,286584,288032,289873,291787,293541,295450
Qatar,1804171,1905660,2035501,2214465,2414573,2595166,2711755
Romania,20147528,20058035,19983693,19908979,19815616,19702267,19588715
Russian Federation,142960908,143201721,143506995,143819667,144096870,144342397,144496739
Rwanda,10576932,10840334,11101350,11368451,11642959,11930899,12230339
South Asia,1684898004,1708706729,1731683901,1754030304,1775545180,1797072648,1818931519
Saudi Arabia,30150945,30821543,31482498,32125564,32749848,33416270,34193122
Sudan,34419624,35159792,35990704,37003245,38171178,39377169,40679828
Senegal,12875880,13231833,13595566,13970308,14356181,14751356,15157793
Singapore,5183688,5312437,5399162,5469724,5535002,5607283,5612253
Solomon Islands,553721,567763,582365,597375,612660,628102,643634
Sierra Leone,6612385,6788587,6964859,7140688,7314773,7493913,7677565
El Salvador,6137349,6161289,6185642,6209526,6231066,6250510,6266654
San Marino,32495,33132,33285,33389,33570,33834,34056
Somalia,12216837,12440326,12852485,13309235,13763906,14292847,14864221
Serbia,7234099,7199077,7164132,7130576,7095383,7058322,7020858
Sub-Saharan Africa (excluding high income),904194713,929240350,955006753,981415249,1008605380,1036061312,1063789431
South Sudan,10243050,10701604,11106031,11213284,11194299,11066105,10658226
Sub-Saharan Africa,904282154,929328653,955096702,981506608,1008698799,1036155989,1063885274
Small states,36444557,37059328,37740743,38493904,39277070,40033083,40728210
Sao Tome and Principe,186044,189924,193757,197497,201124,204632,208036
Suriname,552146,558111,563947,569682,575475,581453,587559
Slovak Republic,5398384,5407579,5413393,5418649,5423801,5430798,5439232
Slovenia,2052843,2057159,2059953,2061980,2063531,2065042,2066388
Sweden,9449213,9519374,9600379,9696110,9799186,9923085,10057698
Eswatini,1105371,1111444,1118319,1125865,1133936,1142524,1151390
Sint Maarten (Dutch part),33435,34640,36607,37685,38825,39969,40574
Seychelles,87441,88303,89949,91359,93419,94677,95843
Syrian Arab Republic,22730733,22605577,21495821,20072232,19205178,18964252,18983373
Turks and Caicos Islands,30816,32081,33594,34985,36538,38246,39844
Chad,12317730,12754906,13216766,13697126,14140274,14592585,15085884
East Asia & Pacific (IDA & IBRD countries),1959494275,1976386829,1993077336,2009149689,2024511016,2039794828,2055414680
Europe & Central Asia (IDA & IBRD countries),443820083,445763231,447902778,450071285,452273365,454426367,456393433
Togo,6748672,6926635,7106229,7288383,7473229,7661354,7852795
Thailand,68712846,69157023,69578602,69960943,70294397,70607037,70898202
Tajikistan,7784819,7956382,8136610,8326348,8524063,8725318,8925525
Turkmenistan,5360811,5458682,5560095,5663152,5766431,5868561,5968383
Latin America & the Caribbean (IDA & IBRD countries),579334666,585986944,592507619,598949385,605335594,611668087,617875842
Timor-Leste,1112976,1137676,1161555,1184830,1205813,1224562,1243235
Middle East & North Africa (IDA & IBRD countries),345887176,352259724,359233517,366582958,373867247,380687450,387152617
Tonga,107611,107502,107089,106626,106122,105707,105415
South Asia (IDA & IBRD),1684898004,1708706729,1731683901,1754030304,1775545180,1797072648,1818931519
Sub-Saharan Africa (IDA & IBRD countries),904282154,929328653,955096702,981506608,1008698799,1036155989,1063885274
Trinidad and Tobago,1420020,1430377,1440729,1450661,1460177,1469330,1478607
Tunisia,11032528,11174383,11300284,11428948,11557779,11685667,11811443
Turkiye,74223629,75175827,76147624,77181884,78218479,79277962,80312698
Tuvalu,10700,10854,10918,10899,10877,10852,10828
Tanzania,46416031,47786137,49253643,50814552,52542823,54401802,56267032
Uganda,33295738,34273295,35273570,36336539,37477356,38748299,40127085
Ukraine,45706086,45593342,45489648,45272155,45154036,45004673,44831135
Upper middle income,2587915297,2610195637,2632878553,2654785044,2675824754,2695996374,2716214857
Uruguay,3361637,3371133,3381180,3391662,3402818,3413766,3422200
United States,311583481,313877662,316059947,318386329,320738994,323071755,325122128
Uzbekistan,29339400,29774500,30243200,30757700,31298900,31847900,32388600
St. Vincent and the Grenadines,108703,108083,107450,106912,106482,105963,105549
"Venezuela, RB",29096159,29470426,29838021,30193258,30529716,30741464,30563433
British Virgin Islands,27962,28421,28657,28971,29366,29739,30060
Virgin Islands (U.S.),108290,108188,108041,107882,107712,107516,107281
Viet Nam,88349117,89301326,90267739,91235504,92191398,93126529,94033048
Vanuatu,251294,257313,263534,269927,276438,283218,290239
World,7054044372,7141386257,7229303088,7317040295,7403850164,7490415449,7576441961
Samoa,196351,198124,199939,201757,203571,205544,207630
Kosovo,1791000,1807106,1818117,1812771,1788196,1777557,1791003
"Yemen, Rep.",25475610,26223391,26984002,27753304,28516545,29274002,30034389
South Africa,52443325,53145033,53873616,54729551,55876504,56422274,56641209
Zambia,14265814,14744658,15234976,15737793,16248230,16767761,17298054
Zimbabwe,13025785,13265331,13555422,13855753,14154937,14452704,14751101